"PrototypeName","PrototypeAddress","RetailAddress","Bytes","Method"
"sceGsSetDefClear","0x00100868","0x00100828","260","Unique identical function bytes, minimum 32 bytes"
"sceGsSetDefStoreImage","0x00100FF0","0x00100FB0","320","Unique identical function bytes, minimum 32 bytes"
"_ipuSetMPEG1","0x00105888","0x00103CA8","40","Unique identical function bytes, minimum 32 bytes"
"decode_motion_vector","0x001067B0","0x00104BD0","136","Unique identical function bytes, minimum 32 bytes"
"sceMpegAddCallback","0x00109250","0x00107670","36","Unique identical function bytes, minimum 32 bytes"
"_dispatchMpegCallback","0x00109278","0x00107698","80","Unique identical function bytes, minimum 32 bytes"
"_RefImageInit","0x00109C30","0x00108050","32","Unique identical function bytes, minimum 32 bytes"
"sceIpuSync","0x0010A850","0x00108C70","104","Unique identical function bytes, minimum 32 bytes"
"VSync","0x0010B420","0x00109820","64","Unique identical function bytes, minimum 32 bytes"
"_sceSDC","0x0010B7B8","0x00109BB8","164","Unique identical function bytes, minimum 32 bytes"
"_sceIDC","0x0010B8F0","0x00109CF0","164","Unique identical function bytes, minimum 32 bytes"
"QueuePeekWriteDone","0x0010C2C8","0x0010A6C8","60","Unique identical function bytes, minimum 32 bytes"
"QueuePeekReadDone","0x0010C308","0x0010A708","60","Unique identical function bytes, minimum 32 bytes"
"kputchar","0x0010C7C0","0x0010ABC0","56","Unique identical function bytes, minimum 32 bytes"
"ftoi","0x0010C8E0","0x0010ACE0","144","Unique identical function bytes, minimum 32 bytes"
"sceSifWriteBackDCache","0x0010D8B0","0x0010BCB0","172","Unique identical function bytes, minimum 32 bytes"
"_sceRpcGetPacket","0x0010DB48","0x0010BF48","164","Unique identical function bytes, minimum 32 bytes"
"_sceRpcGetFPacket","0x0010DC10","0x0010C010","48","Unique identical function bytes, minimum 32 bytes"
"_search_svdata","0x0010DEF0","0x0010C2F0","76","Unique identical function bytes, minimum 32 bytes"
"sceSifCheckStatRpc","0x0010E3B0","0x0010C7B0","60","Unique identical function bytes, minimum 32 bytes"
"sceSifGetNextRequest","0x0010E618","0x0010CA18","76","Unique identical function bytes, minimum 32 bytes"
"__ieee754_sqrtf","0x00116540","0x00114940","312","Unique identical function bytes, minimum 32 bytes"
"__kernel_cosf","0x00116678","0x00114A78","344","Unique identical function bytes, minimum 32 bytes"
"__kernel_sinf","0x00117120","0x00115520","260","Unique identical function bytes, minimum 32 bytes"
"isinf","0x001174C0","0x001158C0","72","Unique identical function bytes, minimum 32 bytes"
"isnan","0x00117508","0x00115908","56","Unique identical function bytes, minimum 32 bytes"
